01-11-01-041 C H,"ELETRODUTO RÖGIDO ROSCµVEL, PVC, DN 110MM (4), PARA REDE ENTERRADA DE DISTRIBUI€ÇO DE ENERGIA ELTRICA - FORNECIMENTO E INSTALA€ÇO. AF_12/2021 CS: 93012",M,"90,00 ","52,21 ","4.698,90 "
64-23-74-164 O H,PARAFUSO CABE€A LENTILHA AUTO TRAV 1/4 X1/2,UN,"1.500,00 ","0,64 ","960,00 "
62-23-65-115 U H,"BUCHA COM ARRUELA ALUMINIO 1. 1/2, PARAELETRODUTO - FORNECIMENTO E INSTALA€ÇO",UN,"200,00 ","4,67 ","934,00 "
001-009,COBERTURA,,"0,00 ","4.868,00 ",
64-23-74-172 O H,"COBERTURA EM TELHA CERAMICA TIPO PAULISTA, COM ARGAMASSA TRACO 1:3 (CIMENTO E ARAREIA) E ARAME RECOZIDO",M2,"50,00 ","97,36 ","4.868,00 "
001-010,DIVERSOS,,"0,00 ","98.915,55 ",
63-19-01-301 O H,LIMPEZA FINAL DA OBRA (9537),M2,"450,00 ","3,19 ","1.435,50 "
64-23-74-183 O H,CARGA MANUAL DE ENTULHO EM CAMINHAO BASCULANTE 6 M3    (72897),M3,"350,00 ","26,53 ","9.285,50 "
01-15-06-001 C H,"TRANSPORTE COM CAMINHÇO BASCULANTE DE 6Mü, EM VIA URBANA EM LEITO NATURAL (UNIDADE: TXKM). AF_07/2020 CS: 97916",TXK,"7.500,00 ","2,05 ","15.375,00 "
01-21-02-014 C H,"TRANSPORTE HORIZONTAL COM JERICA DE 60 L, DE MASSA/ GRANEL (UNIDADE: M3XKM). AF_07/2019 CS: 100205",M3X,"12,00 ","1.269,40 ","15.232,80 "
63-21-04-001 O H,"TRANSPORTE VERTICAL MANUAL DE MATERIAISA GRANEL,COM CARRINHO OU GERICA,DO TRREO AT A 3A. LAJE",M3,"112,5","110,58 ","12.440,25 "
02-01-01-002 O H,ADICIONAL DE HORA EXTRA AOS DOMINGOS EFERIADOS DE 110% - AJUDANTE ESPECIALIZADO COM COMPLEMENTARES  CS:88243,H,"350,00 ","21,66 ","7.581,00 "
02-01-01-018 O H,ADICIONAL DE HORA EXTRA AOS SµBADOS 70%- AJUDANTE ESPECIALIZADO COM ENCARGOSCOMPLEMENTARESCS:88243,H,"350,00 ","13,79 ","4.826,50 "
02-01-01-001 O H,ADICIONAL DE HORA EXTRA AOS DOMINGOS EFERIADOS DE 110% - PEDREIRO COM ENCARGOSCOMPLEMENTARES  CS:88309,H,"350,00 ","28,40 ","9.940,00 "
02-01-01-017 O H,ADICIONAL DE HORA EXTRA AOS SµBADOS 70%- PEDREIRO COM ENCARGOS COMPLEMENTARESCS:88309,H,"350,00 ","18,07 ","6.324,50 "
02-01-01-010 O H,ADICIONAL DE HORA EXTRA AOS DOMINGOS EFERIADOS DE 110% - ELETRICISTA COM ENCARGOS COMPLEMENTARES  CS:88264,H,"350,00 ","28,77 ","10.069,50 "
02-01-01-024 O H,ADICIONAL DE HORA EXTRA AOS SµBADOS 70%-ELETRICISTA COM ENCARGOS COMPLEMENTARESCS:88264,H,"350,00 ","18,30 ","6.405,00 "
2,TAXA ADMINISTRATIVA,,,"31.944,25 ",
002-001,TAXA,,"0,00 ","31.944,25 ",
02-02-01-017 O H,"ADMINISTRA€ÇO LOCAL PARA O.S. ENTRER$ 380.000,01 A R$ 430.000,00",UN,"1,00 ","31.944,25 ","31.944,25 "
CODIGO 115,DESCRIÇÃO 115,UND 115,QUANT 115,,
CODIGO 116,DESCRIÇÃO 116,UND 116,QUANT 116,,
CODIGO 117,DESCRIÇÃO 117,UND 117,QUANT 117,,
CODIGO 118,DESCRIÇÃO 118,UND 118,QUANT 118,,
CODIGO 119,DESCRIÇÃO 119,UND 119,QUANT 119,,
CODIGO 120,DESCRIÇÃO 120,UND 120,QUANT 120,,
CODIGO 121,DESCRIÇÃO 121,UND 121,QUANT 121,,
CODIGO 122,DESCRIÇÃO 122,UND 122,QUANT 122,,
CODIGO 123,DESCRIÇÃO 123,UND 123,QUANT 123,,
CODIGO 124,DESCRIÇÃO 124,UND 124,QUANT 124,,
CODIGO 125,DESCRIÇÃO 125,UND 125,QUANT 125,,
CODIGO 126,DESCRIÇÃO 126,UND 126,QUANT 126,,
CODIGO 127,DESCRIÇÃO 127,UND 127,QUANT 127,,
CODIGO 128,DESCRIÇÃO 128,UND 128,QUANT 128,,
CODIGO 129,DESCRIÇÃO 129,UND 129,QUANT 129,,
CODIGO 130,DESCRIÇÃO 130,UND 130,QUANT 130,,
CODIGO 131,DESCRIÇÃO 131,UND 131,QUANT 131,,
CODIGO 132,DESCRIÇÃO 132,UND 132,QUANT 132,,
CODIGO 133,DESCRIÇÃO 133,UND 133,QUANT 133,,
CODIGO 134,DESCRIÇÃO 134,UND 134,QUANT 134,,
CODIGO 135,DESCRIÇÃO 135,UND 135,QUANT 135,,
CODIGO 136,DESCRIÇÃO 136,UND 136,QUANT 136,,
CODIGO 137,DESCRIÇÃO 137,UND 137,QUANT 137,,
CODIGO 138,DESCRIÇÃO 138,UND 138,QUANT 138,,
CODIGO 139,DESCRIÇÃO 139,UND 139,QUANT 139,,
CODIGO 140,DESCRIÇÃO 140,UND 140,QUANT 140,,
CODIGO 141,DESCRIÇÃO 141,UND 141,QUANT 141,,
CODIGO 142,DESCRIÇÃO 142,UND 142,QUANT 142,,
CODIGO 143,DESCRIÇÃO 143,UND 143,QUANT 143,,
CODIGO 144,DESCRIÇÃO 144,UND 144,QUANT 144,,
CODIGO 145,DESCRIÇÃO 145,UND 145,QUANT 145,,
CODIGO 146,DESCRIÇÃO 146,UND 146,QUANT 146,,
CODIGO 147,DESCRIÇÃO 147,UND 147,QUANT 147,,
CODIGO 148,DESCRIÇÃO 148,UND 148,QUANT 148,,
CODIGO 149,DESCRIÇÃO 149,UND 149,QUANT 149,,
CODIGO 150,DESCRIÇÃO 150,UND 150,QUANT 150,,
CODIGO 151,DESCRIÇÃO 151,UND 151,QUANT 151,,
CODIGO 152,DESCRIÇÃO 152,UND 152,QUANT 152,,
CODIGO 153,DESCRIÇÃO 153,UND 153,QUANT 153,,
CODIGO 154,DESCRIÇÃO 154,UND 154,QUANT 154,,
CODIGO 155,DESCRIÇÃO 155,UND 155,QUANT 155,,
CODIGO 156,DESCRIÇÃO 156,UND 156,QUANT 156,,
CODIGO 157,DESCRIÇÃO 157,UND 157,QUANT 157,,
CODIGO 158,DESCRIÇÃO 158,UND 158,QUANT 158,,
CODIGO 159,DESCRIÇÃO 159,UND 159,QUANT 159,,
CODIGO 160,DESCRIÇÃO 160,UND 160,QUANT 160,,
CODIGO 161,DESCRIÇÃO 161,UND 161,QUANT 161,,
CODIGO 162,DESCRIÇÃO 162,UND 162,QUANT 162,,
CODIGO 163,DESCRIÇÃO 163,UND 163,QUANT 163,,
CODIGO 164,DESCRIÇÃO 164,UND 164,QUANT 164,,
CODIGO 165,DESCRIÇÃO 165,UND 165,QUANT 165,,
CODIGO 166,DESCRIÇÃO 166,UND 166,QUANT 166,,
CODIGO 167,DESCRIÇÃO 167,UND 167,QUANT 167,,
CODIGO 168,DESCRIÇÃO 168,UND 168,QUANT 168,,
CODIGO 169,DESCRIÇÃO 169,UND 169,QUANT 169,,
CODIGO 170,DESCRIÇÃO 170,UND 170,QUANT 170,,
CODIGO 171,DESCRIÇÃO 171,UND 171,QUANT 171,,
CODIGO 172,DESCRIÇÃO 172,UND 172,QUANT 172,,
CODIGO 173,DESCRIÇÃO 173,UND 173,QUANT 173,,
