01-13-06-077 C H,ASSENTO SANITµRIO CONVENCIONAL - FORNECIMENTO E INSTALACAO. AF_01/2020 CS: 100849,UN,"5,00 ","29,54 ","147,70 "
01-13-06-081 C H,TORNEIRA CROMADA DE MESA PARA LAVATàRIOCOM SENSOR DE PRESENCA. AF_01/2020 CS: 100854,UN,"2,00 ","1.527,29 ","3.054,58 "
01-13-06-058 C H,"LAVATàRIO LOU€A BRANCA COM COLUNA, 45 X55CM OU EQUIVALENTE, PADRÇO MDIO, INCLUSO SIFÇO TIPO GARRAFA, VµLVULA E ENGATEFLEXÖVEL DE 40CM EM METAL CROMADO, COM APARELHO MISTURADOR PADRÇO MDIO - FORNEC",UN,"1,00 ","860,66 ","860,66 "
01-13-06-062 C H,"BANCADA MµRMORE BRANCO, 50 X 60 CM, INCLUSO CUBA DE EMBUTIR OVAL EM LOU€A BRANCA 35 X 50 CM, VµLVULA, SIFÇO TIPO GARRAFA E ENGATE FLEXÖVEL 40 CM EM METAL CROMADO E APARELHO MISTURADOR DE MESA, PADRÇO",UN,"1,00 ","905,09 ","905,09 "
01-13-06-074 C H,"KIT DE ACESSORIOS PARA BANHEIRO EM METAL CROMADO, 5 PECAS, INCLUSO FIXA€ÇO. AF_01/2020 CS: 95546",UN,"1,00 ","98,98 ","98,98 "
01-07-04-005 C H,"JANELA DE A€O GALVANIZADO TIPO MAXIM-AR, COM BATENTE, FERRAGENS, PINTURA ANTICORROSIVA E GRADE, 1 FOLHA, EXCLUSIVE ALIZAR E CONTRAMARCO, FIXA€ÇO COM ARGAMASSA - FORNECIMENTO E INSTALA€ÇO. AF_11/2024 C",M2,"4,00 ","824,41 ","3.297,64 "
01-07-09-031 C H,"PORTA DE ABRIR COM MOLA HIDRµULICA, EM VIDRO TEMPERADO, 90X210 CM, ESPESSURA 10MM, INCLUSIVE ACESSàRIOS. AF_01/2021 CS: 102184",UN,"1,00 ","1.673,80 ","1.673,80 "
64-23-74-009 O H,"RETIRADA DE CONJUNTO DE ELETRODUTOS,ACESSàRIOS E CABOS",M,"1,00 ","7,77 ","7,77 "
66-24-20-801 O H,"CHUVEIRO ELETRâNICO, 127 (5500W) OU 220V(7800W), LORENZETTI ACQUA STORM ULTRA OU SIMILAR TCNICO -FORNECIMENTO E INSTALA€ÇO",UN,"1,00 ","400,49 ","400,49 "
001-007,INSTALAÇÃO ELÉTRICA,,"0,00 ","20.673,68 ",
62-23-65-118 U H,"LUMINµRIA COMPLETA DE SOBREPOR COM 2 L¶MPADAS TUBULARES LED DE 18W E CORPO EM CHAPA DE A€O TRATADA COM PINTURA ELETROSTµTICA, DOTADAS DE REFLETOR E ALETAS EM ALUMÖNIO DE ALTO BRILHO",UN,"25,00 ","244,83 ","6.120,75 "
64-23-74-080 O H,"PONTO SECO PARA INSTALA€ÇO DE SOM,TV,ALARME E LàGICA, INCLUINDO ELETRODUTODE PVC RÖGIDO E CAIXA COM ESPELHO",UN,"4,00 ","99,74 ","398,96 "
